epoch,accuracy,loss
0,0.38541666,2.451317645609379
1,0.39583334,1.1583910658955574
2,0.75,0.6791323212285837
3,0.74583334,0.6193017773330212
4,0.78125,0.5569175910204649
5,0.82916665,0.4761010029663642
6,0.8375,0.41427459257344407
7,0.87916666,0.3373009817053874
8,0.91041666,0.22803095759203038
9,0.91875,0.2387692549576362
10,0.9125,0.23435689633091292
11,0.95416665,0.12407892077074696
12,0.93958336,0.1996758800620834
13,0.96458334,0.12153166315207879
14,0.94375,0.13292017978771278
15,0.96458334,0.08481286359407629
16,0.86875,0.617202130301545
17,0.87083334,0.31896468236421543
18,0.95,0.15094989483865598
19,0.9479167,0.19836244406178594
20,0.96458334,0.11422407091595232
21,0.9625,0.09886988962534815
22,0.96875,0.0777863091789186
23,0.925,0.2088876349541048
24,0.96875,0.09459987678565085
25,0.9625,0.10411255486542359
26,0.9770833,0.08560552005656064
27,0.9916667,0.03590400807055024
28,0.99583334,0.032825921778567135
29,0.96458334,0.1668029495922383
30,0.94375,0.1907867337965096
31,0.96458334,0.12221562264797588
32,0.9604167,0.12309334268017362
33,0.9916667,0.029961024546840537
34,0.98333335,0.059954471284678824
35,0.9916667,0.0339288854932723
36,0.9625,0.10937757484498434
37,0.95416665,0.12474638378868501
38,0.9895833,0.04570197073432306
39,0.99375,0.02179137238514765
40,0.9916667,0.05691971745545743
41,0.9604167,0.2752339536867415
42,0.96875,0.13399061223026365
43,0.99375,0.02534218525882655
44,0.99583334,0.0244449356784268
45,0.98333335,0.06997151470083433
46,0.99375,0.04056499855263004
47,1.0,0.01029870284643645
48,1.0,0.004934337574619955
49,1.0,0.0024398189525527414
