epoch,accuracy,loss
0,0.50416666,1.6665271386504172
1,0.50625,1.0492121770977973
2,0.80625,0.5328978700563312
3,0.8333333,0.4553165413439274
4,0.8625,0.350771186221391
5,0.8020833,0.5069221903569996
6,0.84791666,0.43600497413426637
7,0.88125,0.380538791930303
8,0.87291664,0.3949733688496053
9,0.925,0.24816179131157695
10,0.92083335,0.3057746198028326
11,0.91875,0.26690100245177745
12,0.9125,0.25084772005211564
13,0.90833336,0.37201722916215657
14,0.9625,0.2033350757556036
15,0.95208335,0.22909356425516308
16,0.9625,0.19347171196714044
17,0.95416665,0.1222688025678508
18,0.95208335,0.1799595648655668
19,0.94375,0.234478368004784
20,0.8979167,0.29824905905406923
21,0.9625,0.19528050230583177
22,0.96458334,0.11229716410161927
23,0.97083336,0.14117105593322776
24,0.9291667,0.2311235915403813
25,0.975,0.06594281031866558
26,0.95625,0.15934040996944532
27,0.93541664,0.27231980657670646
28,0.925,0.24072366952896118
29,0.95625,0.21038302751258015
30,0.98333335,0.09004509778460487
31,0.9770833,0.14880263938102872
32,0.9770833,0.07049289529095404
33,0.9604167,0.18747221869416536
34,0.9479167,0.19518190962262452
35,0.9604167,0.17392496305983512
36,0.97291666,0.12806287802523003
37,0.96458334,0.18426072682486846
38,0.9625,0.27525677199009807
39,0.93541664,0.21805469659157098
40,0.96666664,0.23893348955316468
41,0.9625,0.2078831824939698
42,0.96666664,0.18921357169747352
43,0.98125,0.1421090028306935
44,0.9791667,0.13581872193608432
45,0.9791667,0.14345688644098117
46,0.98333335,0.09159782559145242
47,0.98541665,0.13820715473848394
48,0.975,0.13571199155412614
49,0.9458333,0.28383773523382844
